,COUNTRY,COUNTRY CODE,ISO CODES,POPULATION,AREA KM2,GDP $USD
0,Bangladesh,880,BD / BGD,156118464,144000,140.2 Billion
1,Barbados,1-246,BB / BRB,285653,431,4.262 Billion
2,Belarus,375,BY / BLR,9685000,207600,69.24 Billion
3,Belgium,32,BE / BEL,10403000,30510,507.4 Billion
4,Belize,501,BZ / BLZ,314522,22966,1.637 Billion
5,Benin,229,BJ / BEN,9056010,112620,8.359 Billion
6,Bermuda,1-441,BM / BMU,65365,53,5.6 Billion
7,Bhutan,975,BT / BTN,699847,47000,2.133 Billion
8,Bolivia,591,BO / BOL,9947418,1098580,30.79 Billion
9,Bosnia and Herzegovina,387,BA / BIH,4590000,51129,18.87 Billion
10,Botswana,267,BW / BWA,2029307,600370,15.53 Billion
11,Brazil,55,BR / BRA,201103330,8511965,2.19 Trillion
12,British Indian Ocean Territory,246,IO / IOT,4000,60,
13,British Virgin Islands,1-284,VG / VGB,21730,153,1.095 Billion
