,HSCode,Commodity,value,country,year
0,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,0.0,AFGHANISTAN TIS,2018
1,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",2.48,AFGHANISTAN TIS,2018
2,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0.71,AFGHANISTAN TIS,2018
3,50,SILK,0.23,AFGHANISTAN TIS,2018
4,52,COTTON.,2.38,AFGHANISTAN TIS,2018
5,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,,AFGHANISTAN TIS,2018
6,54,MAN-MADE FILAMENTS.,46.97,AFGHANISTAN TIS,2018
7,55,MAN-MADE STAPLE FIBRES.,39.19,AFGHANISTAN TIS,2018
8,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",0.07,AFGHANISTAN TIS,2018
9,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,0.03,AFGHANISTAN TIS,2018
10,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,1.74,AFGHANISTAN TIS,2018
11,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",0.07,AFGHANISTAN TIS,2018
12,60,KNITTED OR CROCHETED FABRICS.,3.21,AFGHANISTAN TIS,2018
13,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",43.18,AFGHANISTAN TIS,2018
14,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",89.25,AFGHANISTAN TIS,2018
15,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,21.08,AFGHANISTAN TIS,2018
16,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",18.35,AFGHANISTAN TIS,2018
17,65,HEADGEAR AND PARTS THEREOF.,0.0,AFGHANISTAN TIS,2018
18,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",,AFGHANISTAN TIS,2018
19,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.01,AFGHANISTAN TIS,2018
20,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",0.46,AFGHANISTAN TIS,2018
21,69,CERAMIC PRODUCTS.,0.45,AFGHANISTAN TIS,2018
22,70,GLASS AND GLASSWARE.,0.23,AFGHANISTAN TIS,2018
23,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2.77,AFGHANISTAN TIS,2018
24,72,IRON AND STEEL,0.84,AFGHANISTAN TIS,2018
25,73,ARTICLES OF IRON OR STEEL,61.16,AFGHANISTAN TIS,2018
26,74,COPPER AND ARTICLES THEREOF.,0.73,AFGHANISTAN TIS,2018
27,76,ALUMINIUM AND ARTICLES THEREOF.,38.36,AFGHANISTAN TIS,2018
28,78,LEAD AND ARTICLES THEREOF.,0.0,AFGHANISTAN TIS,2018
29,79,ZINC AND ARTICLES THEREOF.,,AFGHANISTAN TIS,2018
30,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,,AFGHANISTAN TIS,2018
