,Index,Name,Value,Place,Yearly
0,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",2.81,AFGHANISTAN TIS,2018
1,83,MISCELLANEOUS ARTICLES OF BASE METAL.,1.15,AFGHANISTAN TIS,2018
2,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",10.11,AFGHANISTAN TIS,2018
3,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",13.08,AFGHANISTAN TIS,2018
4,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",,AFGHANISTAN TIS,2018
5,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",16.09,AFGHANISTAN TIS,2018
6,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.56,AFGHANISTAN TIS,2018
7,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",7.25,AFGHANISTAN TIS,2018
8,91,CLOCKS AND WATCHES AND PARTS THEREOF.,0.32,AFGHANISTAN TIS,2018
9,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.02,AFGHANISTAN TIS,2018
10,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",0.17,AFGHANISTAN TIS,2018
11,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",0.09,AFGHANISTAN TIS,2018
12,96,MISCELLANEOUS MANUFACTURED ARTICLES.,1.59,AFGHANISTAN TIS,2018
13,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.01,AFGHANISTAN TIS,2018
14,98,PROJECT GOODS; SOME SPECIAL USES.,0.03,AFGHANISTAN TIS,2018
15,99,MISCELLANEOUS GOODS.,0.0,AFGHANISTAN TIS,2018
16,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",0.32,ALBANIA,2018
17,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.32,ALBANIA,2018
18,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,0.17,ALBANIA,2018
19,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,0.06,ALBANIA,2018
20,9,"COFFEE, TEA, MATE AND SPICES.",4.01,ALBANIA,2018
21,10,CEREALS.,0.16,ALBANIA,2018
22,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",0.95,ALBANIA,2018
23,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.01,ALBANIA,2018
24,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,0.0,ALBANIA,2018
25,17,SUGARS AND SUGAR CONFECTIONERY.,0.08,ALBANIA,2018
26,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.01,ALBANIA,2018
27,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.09,ALBANIA,2018
28,21,MISCELLANEOUS EDIBLE PREPARATIONS.,0.17,ALBANIA,2018
29,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.74,ALBANIA,2018
30,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.28,ALBANIA,2018
31,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",0.01,ALBANIA,2018
32,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",0.0,ALBANIA,2018
33,29,ORGANIC CHEMICALS,0.84,ALBANIA,2018
34,30,PHARMACEUTICAL PRODUCTS,0.95,ALBANIA,2018
35,31,FERTILISERS.,,ALBANIA,2018
36,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",0.05,ALBANIA,2018
