,Shortname,ShortPlace,Place,Year,Short,Represent
0,COL,Colombia,Colombia,Republic of Colombia,CO,Colombian peso
1,COM,Comoros,Comoros,Union of the Comoros,KM,Comorian franc
2,COG,Congo,"Congo, Rep.",Republic of Congo,CG,Central African CFA franc
3,CRI,Costa Rica,Costa Rica,Republic of Costa Rica,CR,Costa Rican colon
4,CIV,Côte d'Ivoire,Côte d'Ivoire,Republic of Côte d'Ivoire,CI,West African CFA franc
5,HRV,Croatia,Croatia,Republic of Croatia,HR,Croatian kuna
6,CUB,Cuba,Cuba,Republic of Cuba,CU,Cuban peso
7,CUW,Curaçao,Curaçao,Curaçao,CW,Netherlands Antillean guilder
8,CYP,Cyprus,Cyprus,Republic of Cyprus,CY,Euro
9,CZE,Czech Republic,Czech Republic,Czech Republic,CZ,Czech koruna
10,PRK,Dem. People's Rep. Korea,"Korea, Dem. Rep.",Democratic People's Republic of Korea,KP,Democratic People's Republic of Korean won
11,ZAR,Dem. Rep. Congo,"Congo, Dem. Rep.",Democratic Republic of the Congo,CD,Congolese franc
12,DNK,Denmark,Denmark,Kingdom of Denmark,DK,Danish krone
13,DJI,Djibouti,Djibouti,Republic of Djibouti,DJ,Djibouti franc
14,DMA,Dominica,Dominica,Commonwealth of Dominica,DM,East Caribbean dollar
15,DOM,Dominican Republic,Dominican Republic,Dominican Republic,DO,Dominican peso
16,EAS,East Asia & Pacific (all income levels),East Asia & Pacific (all income levels),East Asia & Pacific (all income levels),Z4,
17,EAP,East Asia & Pacific (developing only),East Asia & Pacific,East Asia & Pacific (developing only),4E,
18,ECU,Ecuador,Ecuador,Republic of Ecuador,EC,U.S. dollar
